danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,like,track_name
0.669,0.389,0,-11.547,1,0.0306,0.605,0.16,0.0905,0.649,130.015,audio_features,5oUV6yWdDM0R9Q2CizRhIt,spotify:track:5oUV6yWdDM0R9Q2CizRhIt,https://api.spotify.com/v1/tracks/5oUV6yWdDM0R9Q2CizRhIt,https://api.spotify.com/v1/audio-analysis/5oUV6yWdDM0R9Q2CizRhIt,231173,4,1,New Slang
0.348,0.875,11,-4.758,0,0.199,0.0341,0.0,0.117,0.407,169.152,audio_features,2zzLRQ78kKfPTx8FJQCdC2,spotify:track:2zzLRQ78kKfPTx8FJQCdC2,https://api.spotify.com/v1/tracks/2zzLRQ78kKfPTx8FJQCdC2,https://api.spotify.com/v1/audio-analysis/2zzLRQ78kKfPTx8FJQCdC2,202133,4,1,When The Sun Goes Down
0.66,0.721,6,-6.801,0,0.0593,0.0612,3.23e-05,0.108,0.551,95.051,audio_features,20uqMtDRyrpL46XpCRRgpS,spotify:track:20uqMtDRyrpL46XpCRRgpS,https://api.spotify.com/v1/tracks/20uqMtDRyrpL46XpCRRgpS,https://api.spotify.com/v1/audio-analysis/20uqMtDRyrpL46XpCRRgpS,191048,4,1,Stop The World I Wanna Get Off With You
0.29,0.399,7,-10.696,0,0.0338,0.902,0.0019,0.105,0.0965,128.37,audio_features,71ytDkCnYc11VRiRCrhDHX,spotify:track:71ytDkCnYc11VRiRCrhDHX,https://api.spotify.com/v1/tracks/71ytDkCnYc11VRiRCrhDHX,https://api.spotify.com/v1/audio-analysis/71ytDkCnYc11VRiRCrhDHX,184760,5,1,Only Ones Who Know
0.656,0.843,7,-4.553,1,0.033,0.00114,0.00098,0.0233,0.745,129.928,audio_features,5fckoQosqCX9xJvHlwITY8,spotify:track:5fckoQosqCX9xJvHlwITY8,https://api.spotify.com/v1/tracks/5fckoQosqCX9xJvHlwITY8,https://api.spotify.com/v1/audio-analysis/5fckoQosqCX9xJvHlwITY8,228693,4,1,La chica banda
0.815,0.372,7,-12.814,1,0.0752,0.166,0.000116,0.0767,0.293,101.684,audio_features,6Qb7gtV6Q4MnUjSbkFcopl,spotify:track:6Qb7gtV6Q4MnUjSbkFcopl,https://api.spotify.com/v1/tracks/6Qb7gtV6Q4MnUjSbkFcopl,https://api.spotify.com/v1/audio-analysis/6Qb7gtV6Q4MnUjSbkFcopl,217347,4,1,50 Ways to Leave Your Lover
0.724,0.757,9,-4.787,0,0.0274,0.00777,0.000154,0.215,0.878,109.98,audio_features,1LSwssG5oIAMXYcvpOoPLC,spotify:track:1LSwssG5oIAMXYcvpOoPLC,https://api.spotify.com/v1/tracks/1LSwssG5oIAMXYcvpOoPLC,https://api.spotify.com/v1/audio-analysis/1LSwssG5oIAMXYcvpOoPLC,183253,4,1,Too Much To Ask
0.521,0.446,0,-7.696,1,0.0354,0.827,0.000102,0.343,0.33,113.78,audio_features,1k4OsQujxXPLij0ZsTFlMx,spotify:track:1k4OsQujxXPLij0ZsTFlMx,https://api.spotify.com/v1/tracks/1k4OsQujxXPLij0ZsTFlMx,https://api.spotify.com/v1/audio-analysis/1k4OsQujxXPLij0ZsTFlMx,203667,4,1,"I'll Try Anything Once - Live From Electric Lady Studios for WRXP, New York"
0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,audio_features,2WfaOiMkCvy7F5fcp2zZ8L,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/tracks/2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/audio-analysis/2WfaOiMkCvy7F5fcp2zZ8L,225280,4,1,Take on Me
0.548,0.865,0,-5.325,1,0.0302,0.00171,0.000449,0.457,0.61,116.046,audio_features,7KsZHCfOitA5V9oQYVdltG,spotify:track:7KsZHCfOitA5V9oQYVdltG,https://api.spotify.com/v1/tracks/7KsZHCfOitA5V9oQYVdltG,https://api.spotify.com/v1/audio-analysis/7KsZHCfOitA5V9oQYVdltG,303013,4,1,Everything Now
